name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%,NCAA_FTA
Jeremy Lin,linje01,1313,0.342,0.733,0.333,495
Gary Neal,nealga01,1203,0.382,0.827,0.359,624
Patrick Patterson,pattepa01,1597,0.369,0.734,0.329,417
Lance Stephenson,stephla01,1099,0.315,0.664,0.219,119
Evan Turner,turneev01,917,0.294,0.758,0.362,508
John Wall,walljo01,1663,0.324,0.754,0.325,232
Alec Burks,burksal01,1114,0.364,0.804,0.313,495
Jimmy Butler,butleji01,1514,0.333,0.773,0.383,596
Tobias Harris,harrito02,2244,0.365,0.753,0.303,170
Kyrie Irving,irvinky01,2870,0.39,0.901,0.462,71
Reggie Jackson,jacksre01,1955,0.337,0.753,0.351,296
Cory Joseph,josepco01,883,0.332,0.699,0.413,73
Brandon Knight,knighbr03,2012,0.353,0.795,0.377,171
Kawhi Leonard,leonaka01,1997,0.383,0.744,0.25,262
Shelvin Mack,macksh01,916,0.33,0.755,0.357,372
Marcus Morris,morrima03,2449,0.367,0.66,0.358,471
Markieff Morris,morrima02,1534,0.345,0.653,0.404,311
Chandler Parsons,parsoch01,1844,0.373,0.611,0.337,401
Iman Shumpert,shumpim01,1447,0.338,0.738,0.305,381
Isaiah Thomas,thomais02,2781,0.364,0.713,0.325,630
Klay Thompson,thompkl01,4291,0.419,0.827,0.39,382
Kemba Walker,walkeke02,4062,0.36,0.783,0.326,640
Derrick Williams,willide02,838,0.3,0.813,0.431,91
Harrison Barnes,barneha02,2028,0.375,0.734,0.349,319
Will Barton,bartowi01,1649,0.347,0.733,0.299,262
Kent Bazemore,bazemke01,1683,0.351,0.581,0.334,489
Bradley Beal,bealbr01,3268,0.38,0.769,0.339,173
Patrick Beverley,beverpa01,1820,0.381,0.73,0.382,270
Jae Crowder,crowdja01,2565,0.34,0.683,0.35,287
Anthony Davis,davisan02,794,0.319,0.728,0.311,412
Draymond Green,greendr01,1632,0.319,0.687,0.361,495
Maurice Harkless,harklma01,997,0.325,0.676,0.215,139
Justin Holiday,holidju01,1748,0.36,0.736,0.343,125
Jeremy Lamb,lambje01,1457,0.339,0.806,0.348,180
Meyers Leonard,leoname01,831,0.39,0.729,0.083,144
Damian Lillard,lillada01,4764,0.373,0.867,0.39,600
Khris Middleton,middlkh01,2303,0.392,0.768,0.321,272
Darius Miller,milleda01,856,0.382,0.815,0.379,227
Austin Rivers,riverau01,1757,0.348,0.658,0.365,184
Terrence Ross,rosste01,2887,0.37,0.764,0.364,127
Mike Scott,scottmi01,1210,0.364,0.677,0.286,155
Kyle Singler,singlky01,826,0.362,0.773,0.363,643
Dion Waiters,waitedi01,1660,0.346,0.753,0.348,166
Reggie Bullock,bullore01,1030,0.385,0.522,0.1,46
Trey Burke,burketr01,1391,0.345,0.777,0.367,291
Kentavious Caldwell-Pope,caldwke01,2524,0.349,0.752,0.339,250
Isaiah Canaan,canaais01,1042,0.351,0.803,0.419,593
Robert Covington,covinro01,2606,0.356,0.802,0.422,399
Allen Crabbe,crabbal01,1596,0.387,0.819,0.382,320
Seth Curry,curryse01,1007,0.443,0.827,0.394,498
Troy Daniels,danietr01,1404,0.395,0.782,0.386,87
Matthew Dellavedova,dellama01,1075,0.368,0.86,0.378,541
Tim Hardaway Jr,hardati02,2671,0.353,0.724,0.343,381
Solomon Hill,hillso01,868,0.336,0.745,0.375,458
CJ McCollum,mccolcj01,2563,0.397,0.825,0.377,739
Ben McLemore,mclembe01,1695,0.366,0.87,0.42,138
Victor Oladipo,oladivi01,1862,0.35,0.716,0.338,359
Kelly Olynyk,olynyke01,1524,0.373,0.709,0.333,285
Otto Porter,porteot01,1364,0.404,0.751,0.355,241
Tony Snell,snellto01,1611,0.385,0.821,0.38,201
Hollis Thompson,thompho01,941,0.386,0.676,0.44,170
Jordan Clarkson,clarkjo01,1973,0.342,0.805,0.322,487
Spencer Dinwiddie,dinwisp01,1379,0.318,0.83,0.386,506
James Ennis,ennisja01,768,0.35,0.788,0.354,241
Langston Galloway,gallola01,1637,0.367,0.821,0.426,407
Aaron Gordon,gordoaa01,1383,0.319,0.422,0.356,180
Jerami Grant,grantje01,1073,0.347,0.641,0.3,251
Gary Harris,harriga01,1501,0.36,0.788,0.376,240
Rodney Hood,hoodro01,1566,0.372,0.773,0.396,176
Zach LaVine,lavinza01,1721,0.375,0.691,0.375,68
Doug McDermott,mcderdo01,1224,0.412,0.831,0.458,715
Shabazz Napier,napiesh01,1000,0.345,0.813,0.375,626
Marcus Smart,smartma01,1835,0.318,0.751,0.295,465
Nik Stauskas,stausni01,1121,0.353,0.832,0.441,291
Andrew Wiggins,wiggian01,1625,0.332,0.775,0.341,227
Devin Booker,bookede01,1890,0.354,0.658,0.275,368
Stanley Johnson,johnsst04,832,0.293,0.742,0.371,178
Frank Kaminsky,kaminfr01,1093,0.347,0.763,0.369,389
Trey Lyles,lylestr01,918,0.341,0.735,0.138,102
Norman Powell,powelno01,891,0.361,0.746,0.314,347
Josh Richardson,richajo01,1387,0.363,0.56,0.0,100
Terry Rozier,roziete01,1368,0.371,0.772,0.331,228
Karl-Anthony Towns,townska01,1280,0.396,0.813,0.25,134
Malik Beasley,beaslma01,791,0.388,0.813,0.387,128
Malcolm Brogdon,brogdma01,828,0.385,0.876,0.365,482
Jaylen Brown,brownja02,1055,0.371,0.654,0.294,217
Dorian Finney-Smith,finnedo01,815,0.33,0.657,0.362,432
Bryn Forbes,forbebr01,1075,0.4,0.821,0.435,351
Buddy Hield,hieldbu01,2126,0.411,0.836,0.39,450
Brandon Ingram,ingrabr01,770,0.36,0.682,0.41,170
Caris LeVert,leverca01,803,0.339,0.77,0.401,265
Jamal Murray,murraja01,1518,0.358,0.783,0.408,152
Taurean Prince,princta02,1305,0.366,0.718,0.376,355
Lonzo Ball,balllo01,918,0.341,0.673,0.412,98
Josh Hart,hartjo01,825,0.353,0.72,0.389,500
Kyle Kuzma,kuzmaky01,1128,0.331,0.633,0.302,270
Lauri Markkanen,markkla01,1050,0.356,0.835,0.423,164
Donovan Mitchell,mitchdo01,1542,0.355,0.788,0.329,165
Malik Monk,monkma01,777,0.322,0.822,0.397,180
Jayson Tatum,tatumja01,1022,0.401,0.849,0.342,139
Trae Young,youngtr01,1050,0.344,0.861,0.36,274
